"VariableMatch" "Lower" "Estimate" "Upper"
"679" "2691" -1253932 -1047110 -840288
"680" "2692" -1261561 -998862 -736163
"681" "2693" -1368362 -931466 -494570
"682" "2694" -1260030 -1020030 -780030
"683" "2711" -1494081 -1057196 -620311
"684" "2712" -1212615 -988379 -764143
"685" "2713" -1217510 -954775 -692040
"686" "2715" -1346041 -1069020 -791999
"687" "2716" -1273899 -1047469 -821039
"688" "2717" -1290228 -1054693 -819158
"689" "2718" -1269026 -1029006 -788986
"690" "2719" -1276666 -1041167 -805668
"691" "2721" -1254592 -1028200 -801808
"692" "2722" -1284583 -1021874 -759165
"693" "2723" -1337958 -1039074 -740190
"694" "2724" -1314708 -1061822 -808936
"695" "2725" -1234491 -1012148 -789805
"696" "2726" -1302332 -1056795 -811258
"697" "2727" -1324049 -1061262 -798475
"698" "2728" -1235674 -1018841 -802008
"699" "2729" -1249804 -1037232 -824660
"700" "2731" -1416742 -1163879 -911016
"701" "2741" -1276959 -1069131 -861303
"702" "2742" -1343955 -1111981 -880007
"703" "2743" -1256692 -1037428 -818164
"704" "2751" -1262944 -1048899 -834854
"705" "2752" -1236235 -936961 -637687
"706" "2761" -1212827 -1002068 -791309
"707" "2771" -1296195 -1089634 -883073
"708" "2801" -1219602 -1011256 -802910
"709" "2802" -1262794 -1058318 -853842
"710" "2803" -1283625 -1064374 -845123
"711" "2804" -1262800 -1045948 -829096
"712" "2805" -1219307 -1012224 -805141
"713" "2806" -1226051 -1022172 -818293
"714" "2807" -1292582 -1085415 -878248
"715" "2808" -1352175 -1053208 -754241
"716" "2809" -1355912 -1078733 -801554
"717" "2811" -1082596 -881337 -680078
"718" "2821" -1230879 -1018302 -805725
"719" "2825" -1209442 -986971 -764500
"720" "2831" -1326207 -1080714 -835221
"721" "2841" -1234165 -1027660 -821155
"722" "2851" -1246583 -1038127 -829671
"723" "2855" -1264758 -965698 -666638
"724" "2861" -1202976 -997362 -791748
"725" "2865" -1301341 -1084457 -867573
"726" "2871" -1279161 -1079084 -879007
"727" "2872" -1477346 -1040488 -603630
"728" "2901" -1267356 -1031815 -796274
"729" "2902" -1181866 -959567 -737268
"730" "2903" -1283737 -1043727 -803717
"731" "2904" -1244775 -1025548 -806321
"732" "2905" -1309934 -971221 -632508
"733" "2906" -1299229 -1036567 -773905
"734" "2907" -1272989 -1061103 -849217
"735" "2908" -1275481 -998771 -722061
"736" "2909" -1226880 -1004517 -782154
"737" "2911" -1120747 -912947 -705147
"738" "2912" -1191437 -973457 -755477
"739" "2913" -1292530 -953560 -614590
"740" "2914" -1244962 -1033042 -821122
"741" "2921" -1287526 -1051756 -815986
"742" "2922" -1281281 -1060521 -839761
"743" "2923" -1273696 -1047285 -820874
"744" "2924" -1233517 -1015488 -797459
"745" "2925" -1298591 -1066653 -834715
"746" "2926" -1313736 -1084834 -855932
"747" "2931" -1242953 -1034417 -825881
"748" "2935" -1358756 -1146200 -933644
"749" "2941" -1300930 -1097886 -894842
"750" "2951" -1312344 -1076814 -841284
"751" "2952" -1516232 -1079250 -642268
"752" "2953" -1334955 -1089180 -843405
"753" "2954" -1229612 -966831 -704050
"754" "2957" -1308730 -1082321 -855912
"755" "2959" -1926397 -1663480 -1400563
"756" "2961" -1378552 -1101683 -824814
"757" "2964" -1326469 -1116234 -905999
"758" "2965" -1339265 -1099244 -859223
"759" "2967" -1362187 -1085366 -808545
"760" "2969" -1295876 -996904 -697932
"761" "2971" -1399900 -1100968 -802036
"762" "2973" -1353009 -1076080 -799151
"763" "2974" -1423557 -1146632 -869707
"764" "2975" -1196678 -897567 -598456
"765" "2977" -1463913 -1228264 -992615
"766" "2981" -1221261 -944438 -667615
"767" "2982" -1448506 -1109818 -771130
"768" "2983" -1321283 -1089366 -857449
"769" "2984" -1362614 -1085822 -809030
"770" "2985" -1298550 -1052997 -807444
"771" "2986" -1316353 -1070751 -825149
"772" "2987" -1308037 -1079174 -850311
"773" "2988" -1122151 -897890 -673629
"774" "2989" -1140725 -841773 -542821
"775" "2991" -1249247 -1041823 -834399
"776" "2992" -1213576 -1006382 -799188
"777" "2993" -1232964 -1025182 -817400
"778" "2994" -1238628 -1021782 -804936
"779" "2995" -1176360 -940704 -705048
"780" "3014" -1448961 -1011797 -574633
"781" "3016" -339033 0 339033
"782" "3021" -1231867 -932967 -634067
"783" "3023" -1133250 -794447 -455644
"784" "3024" -1235055 -972692 -710329
"785" "3037" -1164939 -826235 -487531
"786" "3039" -1292277 -853086 -413895
"787" "3042" -1211114 -948387 -685660
"788" "3043" -1279474 -1061535 -843596
"789" "3044" -1513845 -1076751 -639657
"790" "3045" -1197417 -920532 -643647
"791" "3046" -1404276 -966988 -529700
"792" "3047" -1277258 -938383 -599508
"793" "3051" -1378729 -1040052 -701375
"794" "3052" -1375178 -938231 -501284
"795" "3053" -1246383 -1020002 -793621
"796" "3054" -245487 0 245487
"797" "3055" -927247 -715967 -504687
"798" "3056" -1175904 -949557 -723210
"799" "3059" -1203440 -999485 -795530
"800" "3061" -1021415 -758823 -496231
"801" "3062" -625464 -403197 -180930
"802" "3063" -1118471 -779870 -441269
"803" "3064" -1295328 -1055290 -815252
"804" "3065" -1123248 -902541 -681834
"805" "3066" -1251960 -1006347 -760734
"806" "3067" -1272339 -1053077 -833815
"807" "3068" -1285323 -1064579 -843835
"808" "3069" -1249912 -1033083 -816254
"809" "3071" -1452681 -1015695 -578709
"810" "3072" -1165446 -901866 -638286
"811" "3073" -1363847 -1132003 -900159
"812" "3074" -1388542 -1049835 -711128
"813" "3075" -1395301 -1056634 -717967
"814" "3076" -1285276 -1061106 -836936
"815" "3077" -1294053 -1084764 -875475
"816" "3078" -1331913 -1096385 -860857
"817" "3079" -1292226 -1082017 -871808
"818" "3081" -1444076 -1145252 -846428
"819" "3082" -1354105 -1114268 -874431
"820" "3083" -1443310 -1144455 -845600
"821" "3084" -1346629 -1083732 -820835
"822" "3085" -1599989 -1163176 -726363
"823" "3086" -1292353 -1070023 -847693
"824" "3111" -1295278 -1084411 -873544
"825" "3112" -1410129 -1133102 -856075
"826" "3114" -1268640 -1053739 -838838
"827" "3116" -1299433 -1063860 -828287
"828" "3117" -1334191 -1105440 -876689
"829" "3118" -1392512 -1053827 -715142
"830" "3119" -1299025 -1063500 -827975
"831" "3121" -1253294 -1017780 -782266
"832" "3122" -1305675 -1052756 -799837
"833" "3123" -1277932 -1051547 -825162
"834" "3124" -1231170 -1018613 -806056
"835" "3131" -1277175 -1071752 -866329
"836" "3132" -1327278 -1106576 -885874
"837" "3134" -1243287 -1038273 -833259
"838" "3135" -1233571 -1022825 -812079
"839" "3136" -1215244 -969614 -723984
"840" "3137" -1234104 -1020073 -806042
"841" "3141" -1275469 -1058659 -841849
"842" "3142" -1265646 -1046553 -827460
"843" "3143" -1293988 -1073370 -852752
"844" "3144" -1224280 -997943 -771606
"845" "3145" -1273722 -1058854 -843986
"846" "3146" -1328892 -1066150 -803408
"847" "3147" -1076555 -639585 -202615
"848" "3151" -1243829 -1014850 -785871
"849" "3155" -1191155 -978609 -766063
"850" "3161" -1113526 -907447 -701368
"851" "3162" -1268373 -1047690 -827007
"852" "3171" -1294400 -1072068 -849736
"853" "3172" -1591126 -1154195 -717264
"854" "3176" -1321681 -1068744 -815807
"855" "3181" -1294985 -1085204 -875423
"856" "3191" -1278339 -1066483 -854627
"857" "3192" -1306834 -1086102 -865370
"858" "3193" -1338244 -1102694 -867144
"859" "3194" -1320736 -1080581 -840426
"860" "3195" -1323737 -1105789 -887841
"861" "3201" -1287842 -1079012 -870182
"862" "3202" -1354189 -1114189 -874189
"863" "3203" -1365362 -1112484 -859606
"864" "3204" -1328944 -1102547 -876150
"865" "3205" -1300807 -1088879 -876951
"866" "3206" -1317366 -1109575 -901784
"867" "3207" -1301839 -1093706 -885573
"868" "3208" -1319563 -1097211 -874859
"869" "3209" -1031247 -791129 -551011
"870" "3211" -1282006 -1055633 -829260
"871" "3212" -1508093 -1169343 -830593
"872" "3214" -1269294 -1062695 -856096
"873" "3216" -1278588 -1062710 -846832
"874" "3218" -1331564 -1085919 -840274
"875" "3221" -1292850 -1076014 -859178
"876" "3222" -1307354 -1092476 -877598
"877" "3223" -1272442 -1070745 -869048
"878" "3224" -1331956 -1117889 -903822
"879" "3225" -1302078 -1094276 -886474
"880" "3227" -1406764 -1166607 -926450
"881" "3231" -1201640 -995799 -789958
"882" "3232" -1275375 -1069546 -863717
"883" "3233" -1098390 -894402 -690414
"884" "3234" -1411759 -1073090 -734421
"885" "3235" -1147886 -940675 -733464
"886" "3237" -1326950 -1097879 -868808
"887" "3238" -1252219 -1040842 -829465
"888" "3241" -1326989 -1120426 -913863
"889" "3243" -1377943 -1157141 -936339
"890" "3244" -1292414 -1078339 -864264
"891" "3245" -1302758 -1093480 -884202
"892" "3247" -1344259 -1133553 -922847
"893" "3248" -1412911 -1183993 -955075
"894" "3249" -1446704 -1147706 -848708
"895" "3251" -1310482 -1093625 -876768
"896" "3252" -1274236 -1038621 -803006
"897" "3253" -1243365 -1027510 -811655
"898" "3255" -1316457 -1108316 -900175
"899" "3256" -1440781 -1187894 -935007
"900" "3257" -1351667 -1134806 -917945
"901" "3258" -910926 -648103 -385280
"902" "3261" -1228146 -1017883 -807620
"903" "3262" -1284831 -1070847 -856863
"904" "3263" -1307229 -1067288 -827347
"905" "3264" -1325737 -1108882 -892027
"906" "3265" -1373568 -1158654 -943740
"907" "3267" -1351043 -1143553 -936063
"908" "3271" -1196617 -986413 -776209
"909" "3273" -1357182 -1121685 -886188
"910" "3274" -1281815 -1066928 -852041
"911" "3281" -1275314 -1070860 -866406
"912" "3284" -1342743 -1130820 -918897
"913" "3286" -1281016 -1072061 -863106
"914" "3291" -1329000 -1120890 -912780
"915" "3292" -1524602 -1185920 -847238
"916" "3293" -1339097 -1040199 -741301
"917" "3295" -1287868 -1075288 -862708
"918" "3297" -1233535 -1014366 -795197
"919" "3299" -1232913 -1013573 -794233
"920" "3311" -1245984 -1040706 -835428
"921" "3312" -1276958 -1069903 -862848
"922" "3313" -1309236 -1088489 -867742
"923" "3314" -1318097 -1107333 -896569
"924" "3315" -1277355 -1072380 -867405
"925" "3316" -1323581 -1077770 -831959
"926" "3317" -1292651 -1073420 -854189
"927" "3318" -1338655 -1075939 -813223
"928" "3319" -1214533 -1010376 -806219
"929" "3328" -1284784 -1077323 -869862
"930" "3329" -1013094 -790696 -568298
"931" "3331" -1297335 -1087584 -877833
"932" "3332" -1264098 -1047296 -830494
"933" "3333" -1289056 -1066684 -844312
"934" "3334" -1316640 -1053729 -790818
"935" "3335" -1295803 -1075111 -854419
"936" "3336" -1440487 -1101671 -762855
"937" "3341" -1230587 -1018687 -806787
"938" "3342" -1262383 -1048351 -834319
"939" "3343" -1331588 -1102648 -873708
"940" "3344" -1218951 -1008207 -797463
"941" "3351" -1341389 -1124546 -907703
"942" "3352" -1342247 -1115861 -889475
"943" "3353" -1326883 -1102587 -878291
"944" "3354" -1415974 -1153129 -890284
"945" "3355" -1277283 -1056590 -835897
"946" "3356" -1361573 -1098805 -836037
"947" "3361" -1355575 -1137544 -919513
"948" "3362" -1285961 -1053975 -821989
"949" "3363" -1312029 -1087763 -863497
"950" "3371" -1285204 -1072649 -860094
"951" "3372" -1309878 -1094917 -879956
"952" "3373" -1376714 -1099793 -822872
"953" "3381" -1234289 -1019359 -804429
"954" "3401" -1048968 -822653 -596338
"955" "3402" -1191891 -946376 -700861
"956" "3403" -1331982 -993339 -654696
"957" "3404" -1240828 -1030160 -819492
"958" "3405" -1365618 -1143230 -920842
"959" "3411" -1286673 -1081681 -876689
"960" "3412" -1341832 -1079017 -816202
"961" "3415" -1296493 -1056391 -816289
"962" "3417" -1213397 -1003609 -793821
"963" "3421" -1210612 -1002530 -794448
"964" "3425" -1301377 -962715 -624053
"965" "3431" -1236678 -1021825 -806972
"966" "3432" -1268052 -1050059 -832066
"967" "3433" -1224607 -989106 -753605
"968" "3434" -1254681 -1043913 -833145
"969" "3435" -1235240 -1022722 -810204
"970" "3436" -1270386 -1055492 -840598
"971" "3437" -1213707 -1002937 -792167
"972" "3438" -1225615 -1009973 -794331
"973" "3441" -1139113 -876465 -613817
"974" "3442" -1357107 -1018131 -679155
"975" "3443" -1248656 -995699 -742742
"976" "3445" -1297783 -998884 -699985
"977" "3446" -1193989 -967641 -741293
"978" "3448" -1220953 -985424 -749895
"979" "3449" -1337964 -901011 -464058
"980" "3451" -1087910 -876590 -665270
"981" "3452" -1167244 -954659 -742074
"982" "3453" -1210283 -992296 -774309
"983" "3454" -1200045 -975829 -751613
"984" "3461" -1301746 -1038964 -776182
"985" "3465" -1202585 -956847 -711109
"986" "3466" -1360954 -1062097 -763240
"987" "3467" -1315211 -1075083 -834955
"988" "3471" -1235446 -982548 -729650
"989" "3474" -1225852 -926832 -627812
"990" "3481" -898862 -559958 -221054
"991" "3511" -947996 -695242 -442488
"992" "3512" -826125 -586320 -346515
"993" "3513" -1253249 -914234 -575219
"994" "3514" -954375 -691859 -429343
"995" "3515" -1199115 -860484 -521853
"996" "3521" -1270368 -833295 -396222
"997" "3522" -1134354 -916386 -698418
"998" "3523" -1215322 -962436 -709550
"999" "3524" -1223802 -961037 -698272
"1000" "3525" -1193292 -930585 -667878
"1001" "3526" -1356330 -1057417 -758504
"1002" "3531" -1144921 -915972 -687023
"1003" "3532" -1273591 -933852 -594113
"1004" "3533" -1019435 -766544 -513653
"1005" "3534" -1387311 -950446 -513581
"1006" "3541" -1311636 -1012623 -713610
"1007" "3543" -1224339 -992802 -761265
"1008" "3544" -1208343 -989038 -769733
"1009" "3551" -1160143 -928389 -696635
"1010" "3552" -1208793 -946080 -683367
"1011" "3553" -1221571 -968720 -715869
"1012" "3554" -1319125 -1020277 -721429
"1013" "3555" -1186343 -959997 -733651
"1014" "3562" -1347125 -1008418 -669711
"1015" "3563" -1339389 -1040493 -741597
"1016" "3564" -1272175 -1040221 -808267
"1017" "3571" -1001416 -785696 -569976
"1018" "3572" -1032651 -813248 -593845
"1019" "3573" -1270944 -932250 -593556
"1020" "3581" -1043431 -811067 -578703
"1021" "3582" -1059159 -827216 -595273
"1022" "3583" -920133 -581506 -242879
"1023" "3584" -698758 -436109 -173460
"1024" "3585" -1137117 -838092 -539067
"1025" "3601" -1035984 -821036 -606088
"1026" "3602" -1053609 -837783 -621957
"1027" "3603" -862943 -638706 -414469
"1028" "3604" -1141856 -917661 -693466
"1029" "3605" -1277380 -1037360 -797340
"1030" "3607" -1242396 -1023146 -803896
"1031" "3608" -1296972 -1044103 -791234
"1032" "3612" -1017263 -792946 -568629
"1033" "3615" -1126537 -827619 -528701
"1034" "3621" -951665 -742492 -533319
"1035" "3625" -622658 -376744 -130830
"1036" "3626" -1206663 -961010 -715357
"1037" "3628" -1234758 -1015465 -796172
"1038" "3631" -253110 0 253110
"1039" "3632" -968190 -754924 -541658
"1040" "3633" -813335 -599188 -385041
"1041" "3634" -1165950 -903223 -640496
"1042" "3641" -1207348 -1002073 -796798
"1043" "3642" -1207542 -975654 -743766
"1044" "3643" -1199867 -959899 -719931
"1045" "3645" -739786 -534105 -328424
"1046" "3646" -1256644 -979818 -702992
"1047" "3648" -1157387 -950716 -744045
"1048" "3651" -1383198 -1044365 -705532
"1049" "3652" -1131533 -694581 -257629
"1050" "3701" -1089274 -857453 -625632
"1051" "3702" -1190396 -968052 -745708
"1052" "3703" -1196803 -961282 -725761
"1053" "3704" -1227476 -1003291 -779106
"1054" "3705" -1082692 -867805 -652918
"1055" "3706" -1626671 -1287995 -949319
"1056" "3707" -921201 -711140 -501079
"1057" "3708" -1018941 -786978 -555015
"1058" "3709" -1308723 -1009725 -710727
"1059" "3711" -1266255 -967368 -668481
"1060" "3712" -1062714 -838445 -614176
"1061" "3721" -1109287 -896084 -682881
"1062" "3722" -1021099 -794692 -568285
"1063" "3723" -758383 -556925 -355467
"1064" "3731" -1148641 -912963 -677285
"1065" "3732" -983793 -706996 -430199
"1066" "3734" -1097609 -885049 -672489
"1067" "3735" -506345 -295582 -84819
"1068" "3737" -1173887 -941829 -709771
"1069" "3738" -1059293 -832896 -606499
"1070" "3739" -1104238 -872211 -640184
"1071" "3741" -1108037 -895447 -682857
"1072" "3742" -1143401 -937061 -730721
"1073" "3743" -1038506 -829991 -621476
"1074" "3744" -1301592 -962737 -623882
"1075" "3749" 432665 657264 881863
"1076" "3751" -1224212 -1014932 -805652
"1077" "3752" -1219682 -1000387 -781092
"1078" "3754" -1068884 -806051 -543218
"1079" "3755" -1092775 -888361 -683947
"1080" "3761" -1102197 -896603 -691009
"1081" "3762" -1078482 -867729 -656976
"1082" "3763" -1128244 -888157 -648070
"1083" "3764" -1130436 -924098 -717760
"1084" "3765" -1263871 -1031970 -800069
"1085" "3766" -1094303 -880239 -666175
"1086" "3768" -1070990 -865395 -659800
"1087" "3769" -1189233 -975946 -762659
"1088" "3771" -1256145 -1043606 -831067
"1089" "3772" -1229035 -1022441 -815847
"1090" "3773" -1259925 -1007068 -754211
"1091" "3774" -1361683 -1140918 -920153
"1092" "3775" -1384837 -1085922 -787007
"1093" "3776" -1385756 -1150166 -914576
"1094" "3781" -1289542 -1076949 -864356
"1095" "3784" -1308078 -1072438 -836798
"1096" "3785" -1631199 -1194180 -757161
"1097" "3791" -1240117 -1013744 -787371
"1098" "3792" -1496827 -1059807 -622787
"1099" "3794" -1498552 -1061602 -624652
"1100" "3811" -1113011 -867337 -621663
"1101" "3812" -1254916 -978060 -701204
"1102" "3813" -1235234 -995246 -755258
"1103" "3814" -1241553 -978835 -716117
"1104" "3815" -1334374 -1071602 -808830
"1105" "3816" -1248721 -1029552 -810383
"1106" "3817" -1180013 -962192 -744371
"1107" "3818" -995688 -786007 -576326
"1108" "3819" -1443102 -1006185 -569268
"1109" "3822" -1270658 -1041645 -812632
"1110" "3823" -1282979 -1073216 -863453
"1111" "3824" -1258106 -1049585 -841064
"1112" "3825" -1224528 -1019728 -814928
"1113" "3826" -1235942 -1024312 -812682
"1114" "3828" -1197004 -979005 -761006
"1115" "3829" -1180558 -940549 -700540
"1116" "3831" -1241996 -1036431 -830866
"1117" "3832" -1238447 -1027108 -815769
"1118" "3833" -1213236 -999211 -785186
"1119" "3834" -1357770 -920838 -483906
"1120" "3835" -1201701 -938903 -676105
"1121" "3836" -1719395 -1282203 -845011
"1122" "3841" -1221315 -1006534 -791753
"1123" "3842" -1262362 -1044348 -826334
"1124" "3843" -1296039 -1083445 -870851
"1125" "3844" -1274044 -1053301 -832558
"1126" "3845" -1254265 -1049264 -844263
"1127" "3847" -1346420 -1007555 -668690
"1128" "3848" -1303572 -1071650 -839728
"1129" "3849" -1262297 -1052016 -841735
"1130" "3851" -1211726 -1002841 -793956
"1131" "3852" -1356274 -1135497 -914720
"1132" "3853" -1289854 -1074002 -858150
"1133" "3861" -1232665 -979764 -726863
"1134" "3862" -1272548 -1063259 -853970
"1135" "3863" -1288175 -1073329 -858483
"1136" "3864" -1334492 -1105560 -876628
"1137" "3871" -1156748 -946977 -737206
"1138" "3881" -1215681 -1012091 -808501
"1139" "3882" -1166865 -959372 -751879
"1140" "3886" -1248225 -1036904 -825583
"1141" "3888" -1382941 -1158543 -934145
"1142" "3891" -1292473 -1073163 -853853
"1143" "3892" -1319349 -1098614 -877879
"1144" "3893" -1291727 -1082802 -873877
"1145" "3894" -1434378 -1135488 -836598
"1146" "3901" -1242378 -1023192 -804006
"1147" "3902" -1278139 -1065654 -853169
"1148" "3903" -1251826 -1042526 -833226
"1149" "3904" -1240783 -1036334 -831885
"1150" "3905" -1260972 -1057321 -853670
"1151" "3906" -1268625 -1056076 -843527
"1152" "3907" -1255571 -1015535 -775499
"1153" "3911" -1186922 -986151 -785380
"1154" "3912" -1370422 -1071524 -772626
"1155" "3921" -1296322 -1085565 -874808
"1156" "3922" -1484448 -1046475 -608502
"1157" "3925" -1230570 -1020322 -810074
"1158" "3927" -1254127 -1043340 -832553
"1159" "3931" -1215533 -1011249 -806965
"1160" "3941" -1070097 -867664 -665231
"1161" "3945" -1192352 -976530 -760708
"1162" "3947" -1298998 -1084889 -870780
"1163" "3951" -1221315 -1008768 -796221
"1164" "3953" -1216647 -987693 -758739
"1165" "3956" -1238232 -1033420 -828608
"1166" "3958" -1137379 -931281 -725183
"1167" "3959" -1325839 -1072908 -819977
"1168" "3961" -1200850 -996198 -791546
"1169" "3962" -1213194 -1005108 -797022
"1170" "3971" -1108555 -894470 -680385
"1171" "3972" -1077377 -867596 -657815
"1172" "3981" -1032165 -792155 -552145
"1173" "3984" -1156824 -939988 -723152
"1174" "3985" -1259002 -1030007 -801012
"1175" "3991" -1159912 -953068 -746224
"1176" "3992" -1206940 -961318 -715696
"1177" "3993" -1226631 -994610 -762589
"1178" "3994" -1209914 -1000185 -790456
"1179" "3995" -1268951 -970023 -671095
"1180" "3997" -1117843 -818962 -520081
"1181" "3998" -1245053 -982321 -719589
"1182" "3999" -1165395 -919679 -673963
"1183" "4001" -1299136 -1096028 -892920
"1184" "4002" -1355870 -1079081 -802292
"1185" "4003" -1243497 -1032192 -820887
"1186" "4005" -1306611 -1101469 -896327
"1187" "4006" -1345887 -1105879 -865871
"1188" "4007" -1320602 -1113725 -906848
"1189" "4011" -1499479 -1281360 -1063241
"1190" "4012" -1447758 -1207745 -967732
"1191" "4013" -1341894 -1101770 -861646
"1192" "4014" -1382182 -1146568 -910954
"1193" "4016" -1523542 -1086426 -649310
"1194" "4021" -1329707 -1114753 -899799
"1195" "4023" -1512828 -1235993 -959158
"1196" "4024" -1308164 -1085680 -863196
"1197" "4031" -1308410 -1090381 -872352
"1198" "4032" -1555321 -1278358 -1001395
"1199" "4033" -1314347 -1106537 -898727
"1200" "4041" -1285000 -1073631 -862262
"1201" "4043" -1284394 -1074106 -863818
"1202" "4051" -1302253 -1090905 -879557
"1203" "4053" -1420273 -1196060 -971847
"1204" "4054" -1353165 -1117624 -882083
"1205" "4061" -1296313 -1073912 -851511
"1206" "4062" -1438059 -1001085 -564111
"1207" "4063" -1471748 -1133026 -794304
"1208" "4064" -1389009 -1160037 -931065
"1209" "4101" -1286099 -1072871 -859643
"1210" "4102" -1320544 -1091626 -862708
"1211" "4103" -1323339 -1046459 -769579
"1212" "4104" -1357892 -920929 -483966
"1213" "4105" -1280527 -1066457 -852387
"1214" "4107" -1405694 -1066885 -728076
"1215" "4111" -1348106 -1009234 -670362
"1216" "4112" -1245335 -999534 -753733
"1217" "4115" -1453934 -1208285 -962636
"1218" "4116" -1270972 -1059067 -847162
"1219" "4119" -3470137 -3222179 -2974221
"1220" "4121" -1424122 -1125224 -826326
"1221" "4122" -1322859 -1077238 -831617
"1222" "4124" -1229775 -994139 -758503
"1223" "4126" -1345883 -1047108 -748333
"1224" "4128" -1257820 -1012196 -766572
"1225" "4131" -1351866 -1052975 -754084
"1226" "4132" -1214647 -990652 -766657
"1227" "4133" -1249807 -1036536 -823265
"1228" "4141" -1307293 -1094082 -880871
"1229" "4142" -1338562 -1116192 -893822
"1230" "4143" -1299108 -1076751 -854394
"1231" "4145" -1413069 -1114100 -815131
"1232" "4147" -1326043 -1099589 -873135
"1233" "4151" -1196003 -897063 -598123
"1234" "4152" -1291492 -951648 -611804
"1235" "4153" -1271448 -1061248 -851048
"1236" "4155" -1525460 -1186727 -847994
"1237" "4156" -1292124 -1060170 -828216
"1238" "4157" -1264388 -1011460 -758532
"1239" "4158" -1313394 -1086867 -860340
"1240" "4161" -1368452 -1091531 -814610
"1241" "4163" -1419607 -1080941 -742275
"1242" "4171" -1469951 -1217060 -964169
"1243" "4174" -1491384 -1152623 -813862
"1244" "4175" -1353350 -1107616 -861882
"1245" "4176" -1532890 -1193412 -853934
"1246" "4181" -1362820 -1122803 -882786
"1247" "4182" -1187188 -888164 -589140
"1248" "4184" -1352946 -1128704 -904462
"1249" "4185" -1367657 -1114715 -861773
"1250" "4191" -1294371 -1090247 -886123
"1251" "4194" -1304862 -1089032 -873202
"1252" "4196" -1286721 -1070933 -855145
"1253" "4197" -1356045 -1110195 -864345
"1254" "4201" -1208468 -987863 -767258
"1255" "4204" -1394102 -1117191 -840280
"1256" "4205" -1191425 -980653 -769881
"1257" "4206" -1447587 -1170776 -893965
"1258" "4207" -1269550 -1052731 -835912
"1259" "4208" -1338268 -1039236 -740204
"1260" "4209" -1324441 -1071413 -818385
"1261" "4211" -1282073 -1036461 -790849
"1262" "4221" -1318405 -1086458 -854511
"1263" "4223" -1250274 -1023877 -797480
"1264" "4225" -1385406 -1122583 -859760
"1265" "4231" -1388137 -1049470 -710803
"1266" "4233" -1315850 -1096721 -877592
"1267" "4235" -1549904 -1210987 -872070
"1268" "4241" -1282434 -1067645 -852856
"1269" "4243" -1459016 -1022148 -585280
"1270" "4245" -1370895 -1071860 -772825
"1271" "4247" -1408443 -1155521 -902599
"1272" "4251" -1321317 -1114170 -907023
"1273" "4254" -1300729 -1085808 -870887
"1274" "4255" -1362437 -1141696 -920955
"1275" "4261" -1329359 -1120032 -910705
"1276" "4264" -1377378 -1153129 -928880
"1277" "4265" -1376895 -1114111 -851327
"1278" "4266" -1375278 -1129652 -884026
"1279" "4267" -1405534 -1106633 -807732
"1280" "4268" -1449797 -1196876 -943955
"1281" "4269" -1501675 -1224536 -947397
"1282" "4271" -1479752 -1260465 -1041178
"1283" "4273" -1332370 -1111681 -890992
"1284" "4281" -1458096 -1181178 -904260
"1285" "4283" -1326598 -1100201 -873804
"1286" "4284" -1404645 -1164493 -924341
"1287" "4285" -1285271 -1069326 -853381
"1288" "4286" -1354470 -1122554 -890638
"1289" "4287" -1590940 -1153845 -716750
"1290" "4288" -1458217 -1021306 -584395
"1291" "4301" -1311714 -1094950 -878186
"1292" "4303" -1373765 -1096675 -819585
"1293" "4305" -1629106 -1290221 -951336
"1294" "4306" -1415261 -1179786 -944311
"1295" "4307" -1710370 -1433394 -1156418
"1296" "4311" -1397509 -1183386 -969263
"1297" "4315" -1527368 -1188491 -849614
"1298" "4316" -1536640 -1196562 -856484
"1299" "4317" -1682287 -1343425 -1004563
"1300" "4318" -1364335 -1101538 -838741
"1301" "4321" -1486903 -1148219 -809535
"1302" "4322" -1394371 -1117085 -839799
"1303" "4323" -1423323 -1146391 -869459
"1304" "4325" -1392192 -1115322 -838452
"1305" "4326" -1518515 -1081485 -644455
"1306" "4327" -1653400 -1314389 -975378
"1307" "4328" -1222860 -1015957 -809054
"1308" "4331" -1279297 -1072851 -866405
"1309" "4332" -1273551 -1063331 -853111
"1310" "4333" -1287871 -1076614 -865357
"1311" "4334" -1293448 -1053405 -813362
"1312" "4335" -1324113 -1115617 -907121
"1313" "4336" -1319144 -1106594 -894044
"1314" "4337" -1306363 -1102383 -898403
"1315" "4338" -1695787 -1258607 -821427
"1316" "4339" -1741432 -1478623 -1215814
"1317" "4341" -1329663 -1107286 -884909
"1318" "4351" -1271578 -1060341 -849104
"1319" "4352" -1516327 -1276262 -1036197
"1320" "4353" -1340460 -1104881 -869302
"1321" "4354" -1210745 -911775 -612805
"1322" "4356" -992470 -760496 -528522
"1323" "4357" -1336044 -1037212 -738380
"1324" "4361" -1462539 -1185709 -908879
"1325" "4363" -1435388 -1136485 -837582
"1326" "4364" -1318834 -1083263 -847692
"1327" "4365" -1477041 -1178082 -879123
"1328" "4371" -1297391 -1079356 -861321
"1329" "4373" -1273008 -1044054 -815100
"1330" "4374" -1297169 -1068254 -839339
"1331" "4381" -1348781 -1140410 -932039
"1332" "4382" -1353715 -1146009 -938303
"1333" "4383" -1342251 -1121516 -900781
"1334" "4384" -1317844 -1109321 -900798
"1335" "4385" -1324267 -1113488 -902709
"1336" "4386" -1364978 -1136050 -907122
"1337" "4387" -1432203 -1154719 -877235
