"VariableMatch" "Lower" "Estimate" "Upper"
"152" "1314" -1443948 -1105215 -766482
"153" "1315" -1468914 -1125540 -782166
"154" "1316" -1196965 -981136 -765307
"155" "1317" -1372971 -1132929 -892887
"156" "1318" -1368819 -1146453 -924087
"157" "1319" -1251982 -1045417 -838852
"158" "1321" -1333469 -1119404 -905339
"159" "1323" -1364087 -1101333 -838579
"160" "1324" -1424519 -1161815 -899111
"161" "1325" -1277988 -1063052 -848116
"162" "1326" -1326241 -1094284 -862327
"163" "1328" -1317930 -1109015 -900100
"164" "1333" -1368585 -1147845 -927105
"165" "1335" -1359627 -1151473 -943319
"166" "1336" -1338479 -1134315 -930151
"167" "1338" -1345483 -1127463 -909443
"168" "1339" -1351730 -1147873 -944016
"169" "1341" -1425093 -1126230 -827367
"170" "1343" -1347853 -1123519 -899185
"171" "1349" -1277661 -1051052 -824443
"172" "1351" -1329946 -1094402 -858858
"173" "1352" -1525083 -1088247 -651411
"174" "1354" -1500438 -1161846 -823254
"175" "1355" -1359725 -1082847 -805969
"176" "1356" -1354199 -1114168 -874137
"177" "1357" -1319920 -1067047 -814174
"178" "1358" -1134552 -918738 -702924
"179" "1359" -1345857 -1113883 -881909
"180" "1363" -1285184 -1065891 -846598
"181" "1381" -1006231 -793855 -581479
"182" "1382" -1245445 -946466 -647487
"183" "1383" -1237348 -991772 -746196
"184" "1391" -953743 -750486 -547229
"185" "1393" -1052516 -826357 -600198
"186" "1394" -1014913 -805111 -595309
"187" "1396" -980986 -754598 -528210
"188" "1398" -1070926 -846812 -622698
"189" "1399" -1108478 -890481 -672484
"190" "1401" -875973 -669326 -462679
"191" "1402" -1054161 -844467 -634773
"192" "1403" -1162802 -947877 -732952
"193" "1404" -1038018 -808910 -579802
"194" "1405" -806822 -586220 -365618
"195" "1406" -900793 -685986 -471179
"196" "1411" -534650 -330726 -126802
"197" "1412" -861249 -629340 -397431
"198" "1421" -1276094 -1053714 -831334
"199" "1422" -1257332 -1036585 -815838
"200" "1423" -1126789 -911907 -697025
"201" "1424" -1224063 -1007262 -790461
"202" "1426" -1060831 -821048 -581265
"203" "1427" -981484 -735869 -490254
"204" "1431" -1068309 -864163 -660017
"205" "1432" -1105154 -895938 -686722
"206" "1433" -1062199 -850360 -638521
"207" "1435" -1187272 -975926 -764580
"208" "1436" -1376924 -1077868 -778812
"209" "1441" -1260026 -1050390 -840754
"210" "1442" -1264361 -1037949 -811537
"211" "1443" -1297254 -1057229 -817204
"212" "1444" -1291716 -1051728 -811740
"213" "1445" -1271577 -1050809 -830041
"214" "1446" -1342384 -1096775 -851166
"215" "1447" -1245214 -1034437 -823660
"216" "1448" -1204877 -1002612 -800347
"217" "1451" -1173019 -896109 -619199
"218" "1452" -1230277 -990240 -750203
"219" "1454" -1119220 -842180 -565140
"220" "1456" -1269474 -1045440 -821406
"221" "1461" -1151915 -929521 -707127
"222" "1462" -1097603 -884319 -671035
"223" "1463" -1384792 -1107790 -830788
"224" "1464" -1228162 -965263 -702364
"225" "1471" -1288857 -1011893 -734929
"226" "1472" -1417501 -1118651 -819801
"227" "1473" -1363361 -1100608 -837855
"228" "1474" -1293137 -1082915 -872693
"229" "1475" -1346920 -1047988 -749056
"230" "1482" -1357339 -1018468 -679597
"231" "1483" -1183595 -967767 -751939
"232" "1484" -1344776 -1082001 -819226
"233" "1485" -1390033 -1051223 -712413
"234" "1486" -1299460 -1036644 -773828
"235" "1487" -1513117 -1076206 -639295
"236" "1488" -1354969 -1016040 -677111
"237" "1489" -1550867 -1113826 -676785
"238" "1501" -1251850 -1031104 -810358
"239" "1502" -1239631 -1023791 -807951
"240" "1503" -1176952 -948021 -719090
"241" "1504" -1324297 -1047446 -770595
"242" "1505" -1255194 -1002625 -750056
"243" "1506" -1221629 -1003772 -785915
"244" "1507" -1253465 -1037631 -821797
"245" "1508" -1254054 -991293 -728532
"246" "1509" -1144096 -918091 -692086
"247" "1511" -1119859 -906518 -693177
"248" "1521" -1286048 -1075380 -864712
"249" "1525" -1350031 -1073041 -796051
"250" "1531" -1212615 -997697 -782779
"251" "1534" -1350394 -912734 -475074
"252" "1541" -1284708 -1070661 -856614
"253" "1544" -1270911 -1055077 -839243
"254" "1546" -1130366 -867464 -604562
"255" "1551" -1220297 -1010000 -799703
"256" "1561" -1285582 -1067535 -849488
"257" "1562" -1236558 -1012310 -788062
"258" "1566" -1279200 -1073332 -867464
"259" "1567" -1235301 -1027504 -819707
"260" "1601" -1244788 -1036491 -828194
"261" "1602" -1305953 -1090141 -874329
"262" "1606" -1344688 -1127836 -910984
"263" "1607" -1372100 -1109166 -846232
"264" "1608" -1343149 -1125053 -906957
"265" "1609" -1475849 -1176760 -877671
"266" "1611" -1358199 -1149310 -940421
"267" "1613" -1349236 -1143208 -937180
"268" "1614" -1394452 -1095512 -796572
"269" "1616" -1321225 -1107196 -893167
"270" "1617" -1337603 -1092009 -846415
"271" "1619" -1399132 -1192693 -986254
"272" "1621" -1158910 -942180 -725450
"273" "1622" -1433799 -1134921 -836043
"274" "1623" -1334833 -1072088 -809343
"275" "1624" -1221411 -975809 -730207
"276" "1625" -1257142 -1030759 -804376
"277" "1628" -1318907 -1112584 -906261
"278" "1631" -1567553 -1304712 -1041871
"279" "1633" -1382765 -1129841 -876917
"280" "1634" -1601191 -1164126 -727061
"281" "1636" -1359538 -1113921 -868304
"282" "1641" -1387935 -1147903 -907871
"283" "1645" -1305234 -1076200 -847166
"284" "1647" -1130241 -884387 -638533
"285" "1648" -1333682 -1070875 -808068
"286" "1652" -1293782 -1031013 -768244
"287" "1654" -1926459 -1489222 -1051985
"288" "1657" -1333536 -1119475 -905414
"289" "1661" -1470905 -1193978 -917051
"290" "1662" -1627614 -1190623 -753632
"291" "1671" -1323061 -1106319 -889577
"292" "1674" -1458272 -1212569 -966866
"293" "1676" -1358683 -1118604 -878525
"294" "1678" -1411857 -1176273 -940689
"295" "1679" -1351190 -1122246 -893302
"296" "1681" -1498795 -1199547 -900299
"297" "1682" -1512610 -1173461 -834312
"298" "1683" -1320442 -980677 -640912
"299" "1684" -1560399 -1123564 -686729
"300" "1685" -1445642 -1106945 -768248
"301" "1686" -1430305 -1131306 -832307
"302" "1687" -1347922 -1136588 -925254
"303" "1688" -1381697 -1135877 -890057
"304" "1689" -1317863 -1105995 -894127
"305" "1691" -1811632 -1374567 -937502
"306" "1693" -1370350 -1163958 -957566
"307" "1695" -1331618 -1085893 -840168
"308" "1696" -1343038 -1113995 -884952
"309" "1697" -1291307 -1045672 -800037
"310" "1701" -1336538 -1125274 -914010
"311" "1702" -1224131 -992157 -760183
"312" "1703" -1295110 -1085384 -875658
"313" "1704" -1316005 -1105773 -895541
"314" "1705" -1286973 -1084413 -881853
"315" "1706" -1509674 -1072808 -635942
