"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41"
"20","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","200","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","KIA Picanto","Audi S3","Skoda Superb","Mercedes-Benz A","BMW 1","Volkswagen Golf","Citroen C3","Ford Fiesta","Hyundai i10","Mercedes-Benz A-Class","1"
"21","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","200","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","Peugeot 108","Skoda Citigo","Toyota Aygo","Citroen C1","Volkswagen UP","Jaguar F-Type","Mazda MX-5","Volkswagen Up",NA,NA,"1"
"22","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","200","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","Peugeot 108","Skoda Citigo","Toyota Aygo","Citroen C1","Volkswagen UP","Jaguar F-Type","Mazda MX-5","Volkswagen Up",NA,NA,"1"
"23","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","200","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","Peugeot 108","Skoda Citigo","Toyota Aygo","Citroen C1","Volkswagen UP","Jaguar F-Type","Mazda MX-5","Volkswagen Up",NA,NA,"1"
"24","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","200","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","Peugeot 108","Skoda Citigo","Toyota Aygo","Citroen C1","Volkswagen UP","Jaguar F-Type","Mazda MX-5","Volkswagen Up",NA,NA,"1"
"25","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","200","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","Peugeot 108","Skoda Citigo","Toyota Aygo","Citroen C1","Volkswagen UP","Jaguar F-Type","Mazda MX-5","Volkswagen Up",NA,NA,"1"
"26","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","200","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","Peugeot 108","Skoda Citigo","Toyota Aygo","Citroen C1","Volkswagen UP","Jaguar F-Type","Mazda MX-5","Volkswagen Up",NA,NA,"1"
"27","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","200","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","BMW 1","Skoda Superb","Volkswagen Golf","MINI Hatch","MINI Paceman","Skoda Citigo","Audi S3","Jaguar F-Type","Mercedes-Benz A","Mercedes-Benz C","1"
"28","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","200","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","Toyota Aygo","Peugeot 108","Skoda Citigo","Volkswagen 1.0","Volkswagen UP","Citroen C1","Mazda MX-5","Vauxhall Viva",NA,NA,"1"
"29","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","200","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","Toyota Aygo","Peugeot 108","Skoda Citigo","Volkswagen 1.0","Volkswagen UP","Citroen C1","Mazda MX-5","Vauxhall Viva",NA,NA,"1"
"30","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","200","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","Toyota Aygo","Peugeot 108","Skoda Citigo","Volkswagen 1.0","Volkswagen UP","Citroen C1","Mazda MX-5","Vauxhall Viva",NA,NA,"1"
"31","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","200","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","Toyota Aygo","Peugeot 108","Skoda Citigo","Volkswagen 1.0","Volkswagen UP","Citroen C1","Mazda MX-5","Vauxhall Viva",NA,NA,"1"
"32","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","200","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","Toyota Aygo","Peugeot 108","Skoda Citigo","Volkswagen 1.0","Volkswagen UP","Citroen C1","Mazda MX-5","Vauxhall Viva",NA,NA,"1"
"33","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","200","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","Toyota Aygo","Peugeot 108","Skoda Citigo","Volkswagen 1.0","Volkswagen UP","Citroen C1","Mazda MX-5","Vauxhall Viva",NA,NA,"1"
"34","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","200","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","Land Rover","Volkswagen Golf","Audi S3","Skoda Superb","MINI Hatch","Nissan Note","Mercedes-Benz A","Audi A1","Mazda 3","MINI Countryman","1"
"35","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","200","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","Land Rover","Volkswagen Golf","Audi S3","Skoda Superb","MINI Hatch","Nissan Note","Mercedes-Benz A","Audi A1","Mazda 3","MINI Countryman","1"
"36","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","200","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","Land Rover","Volkswagen Golf","Audi S3","Skoda Superb","MINI Hatch","Nissan Note","Mercedes-Benz A","Audi A1","Mazda 3","MINI Countryman","1"
"37","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","200","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","Toyota Aygo","Skoda Citigo","Citroen C1","Peugeot 108","Vauxhall Viva","Volkswagen 1.0","Jaguar F-Type","Mazda MX-5","Mercedes-Benz SL","Volkswagen UP","1"
"38","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","200","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","Peugeot 108","Toyota Aygo","Skoda Citigo","Vauxhall Viva","Citroen C1","Volkswagen 1.0","Volkswagen Up","Volkswagen UP!",NA,NA,"1"
"39","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","200","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","Peugeot 108","Toyota Aygo","Skoda Citigo","Vauxhall Viva","Citroen C1","Volkswagen 1.0","Volkswagen Up","Volkswagen UP!",NA,NA,"1"
"40","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","200","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","Skoda Citigo","Toyota Aygo","Peugeot 108","Volkswagen 1.0","BMW 2","Citroen C1","Mazda MX-5","Mercedes-Benz SL","Mercedes-Benz SLC","Vauxhall Viva","1"
"41","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","200","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","Skoda Citigo","Toyota Aygo","Peugeot 108","Volkswagen 1.0","BMW 2","Citroen C1","Mazda MX-5","Mercedes-Benz SL","Mercedes-Benz SLC","Vauxhall Viva","1"
"42","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","200","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","Volkswagen Golf","Mercedes-Benz A","BMW 1","Mazda2 1.5","Toyota Yaris","Audi S3","Skoda Superb","Audi A1","Citroen DS","Mercedes-Benz Gle","1"
"43","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","200","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","Land Rover","Mercedes-Benz G","Ford Kuga","Jaguar F-Pace","Hyundai Tucson","KIA Sportage","Mercedes-Benz C","Skoda Octavia",NA,NA,"4"
